Location,Order #,Sent Date,Menu Item,Menu Group,Menu,Sales Category,Net Price,Qty,Void?
Los Gatos,1,4/1/24 12:00 PM,The Somm Stumper,Flights,BTG WINE,Wine on Premise,20.00,1.0,false
Los Gatos,2,4/1/24 12:02 PM,3 Olive Sampler,SFIZI,FOOD,Food,11.00,1.0,false
Los Gatos,2,4/1/24 12:02 PM,GLS Lanciola Colli Fiorentini,Red,BTG WINE,Wine on Premise,13.00,1.0,false
Los Gatos,1,4/1/24 12:07 PM,DiStefano Burrata,SFIZI,FOOD,Food,23.00,1.0,false
Los Gatos,3,4/1/24 12:18 PM,Aglio e Olio,PASTA/ENTREES,FOOD,Food,18.00,1.0,false
Los Gatos,3,4/1/24 12:18 PM,GLS Barnier Rose Champagne,Sparkling,BTG WINE,Wine on Premise,24.00,1.0,false
Los Gatos,2,4/1/24 12:31 PM,GLS Paolo Cali Nero,Red,BTG WINE,Wine on Premise,15.00,1.0,false
Los Gatos,2,4/1/24 12:31 PM,Aqua Panna,N/A Beverages,BEVERAGES,NA Beverage,5.00,1.0,false
Los Gatos,4,4/1/24 12:31 PM,Spring Ravioli,PASTA/ENTREES,FOOD,Food,0.00,3.0,false
Los Gatos,1,4/1/24 12:33 PM,Carbonara,PASTA/ENTREES,FOOD,Food,34.00,1.0,false
Los Gatos,4,4/1/24 12:35 PM,Caesar,INSALATE,FOOD,Food,18.00,1.0,false
Los Gatos,4,4/1/24 12:35 PM,Mista,INSALATE,FOOD,Food,13.00,1.0,false
Los Gatos,4,4/1/24 12:35 PM,1/2 Gorgonzola,INSALATE,FOOD,Food,8.00,1.0,false
Los Gatos,5,4/1/24 12:51 PM,Spring Ravioli,PASTA/ENTREES,FOOD,Food,16.00,1.0,false
Los Gatos,2,4/1/24 12:51 PM,Mushroom Ravioli,PASTA/ENTREES,FOOD,Food,24.00,1.0,false
Los Gatos,6,4/1/24 12:54 PM,Mushroom Ravioli,PASTA/ENTREES,FOOD,Food,24.00,1.0,false
Los Gatos,6,4/1/24 12:54 PM,Arthur Ave,PANINI,FOOD,Food,18.00,1.0,false
Los Gatos,1,4/1/24 12:55 PM,GLS Collematoni Brunello 18,Red,BTG WINE,Wine on Premise,35.00,1.0,false
Los Gatos,5,4/1/24 1:00 PM,Calabrese Shrimp,SFIZI,FOOD,Food,18.00,1.0,false
Los Gatos,5,4/1/24 1:00 PM,3 Olive Sampler,SFIZI,FOOD,Food,11.00,1.0,false
Los Gatos,5,4/1/24 1:00 PM,Fontina Aosta,FORMAGGI,FOOD,Food,5.00,1.0,false
Los Gatos,1,4/1/24 1:05 PM,Sausage & Peppers,ITALIAN AMERICAN,FOOD,Food,16.00,1.0,false
Los Gatos,7,4/1/24 1:10 PM,Ricchezza (Picollo),PROPOSTA DELLA CASA,FOOD,Food,35.00,1.0,false
Los Gatos,1,4/1/24 1:27 PM,RET R8 Chardonnay,White,WINE,Retail Wine,16.00,1.0,false
Los Gatos,7,4/1/24 1:28 PM,Carbonara,PASTA/ENTREES,FOOD,Food,44.00,2.0,false
Los Gatos,7,4/1/24 1:28 PM,Arthur Ave,PANINI,FOOD,Food,18.00,1.0,false
Los Gatos,8,4/1/24 1:30 PM,GLS BelleBolle Sparkling Rose,Sparkling,BTG WINE,Wine on Premise,26.00,2.0,false
Los Gatos,8,4/1/24 1:30 PM,Mushroom Ravioli,PASTA/ENTREES,FOOD,Food,24.00,1.0,false
Los Gatos,8,4/1/24 1:30 PM,Eggplant Parm,ITALIAN AMERICAN,FOOD,Food,27.00,1.0,false
Los Gatos,5,4/1/24 1:32 PM,Salmon,PASTA/ENTREES,FOOD,Food,30.00,1.0,false
Los Gatos,5,4/1/24 1:32 PM,GLS Fornaci Gavi,White,BTG WINE,Wine on Premise,14.00,1.0,false
Los Gatos,5,4/1/24 1:32 PM,GLS Paul Janin Beaujolais,Red,BTG WINE,Wine on Premise,18.00,1.0,false
