Location,Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Discount,Net Price,Qty,Void?,Void Reason
Los Gatos,2,4/1/24 12:02 PM,Castelvetrano Only,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,1,4/1/24 12:07 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,1,4/1/24 12:33 PM,Add 5 Shrimp,Pasta Options,Carbonara,0.00,12.00,1.0,false,
Los Gatos,4,4/1/24 12:35 PM,Crumbles On The Side,,1/2 Gorgonzola,0.00,0.00,1.0,false,
Los Gatos,11,4/1/24 1:38 PM,Extra Dressing,,Caesar,0.00,0.00,1.0,false,
Los Gatos,10,4/1/24 1:39 PM,Add Shrimp ,Insalate Options,Mista,0.00,12.00,1.0,false,
Los Gatos,12,4/1/24 1:52 PM,2 Bolzano 1 Funghi,,Bolzano,0.00,0.00,1.0,false,
Los Gatos,13,4/1/24 2:11 PM,Only Green Olives,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,7,4/1/24 2:36 PM,With Milk,Coffee Mods,Large French Press Coffee,0.00,0.00,1.0,false,
Los Gatos,7,4/1/24 2:36 PM,Sugar,Coffee Mods,Large French Press Coffee,0.00,0.00,1.0,false,
Los Gatos,14,4/1/24 3:26 PM,NO MAKE,,Crostini Sampler,0.00,0.00,1.0,false,
Los Gatos,16,4/1/24 3:34 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,16,4/1/24 3:34 PM,Pressed,Caprese Panini Options,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,15,4/1/24 3:48 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,20,4/1/24 5:03 PM,Add Salmon,Insalate Options,Mista,0.00,14.00,1.0,false,
Los Gatos,23,4/1/24 5:19 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,23,4/1/24 5:33 PM,Dressing On Side,Insalate Options,Mista,0.00,0.00,1.0,false,
Los Gatos,23,4/1/24 5:33 PM,Extra Meat,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,26,4/1/24 6:22 PM,Add Arugula,Insalate Options,Caprese Insalate,0.00,3.00,1.0,false,
Los Gatos,24,4/1/24 6:28 PM,Add One Meatball,Options,Meatballs,0.00,7.00,1.0,false,
Los Gatos,29,4/1/24 6:39 PM,Light Dressing,Insalate Options,Caesar,0.00,0.00,1.0,false,
Los Gatos,29,4/1/24 6:40 PM,Add 5 Shrimp,Pasta Options,Aglio e Olio,0.00,12.00,1.0,false,
Los Gatos,29,4/1/24 6:40 PM,No Bread Crumbs,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,29,4/1/24 6:40 PM,Add Two Meatballs,Pasta Options,Spaghetti Marinara,0.00,12.00,1.0,false,
Los Gatos,34,4/1/24 7:22 PM,Add Pepperchini,,Sonny's Sandwich,0.00,0.00,1.0,false,
Los Gatos,15,4/2/24 5:55 PM,Both Split,,Tonno Panini,0.00,0.00,1.0,false,
Los Gatos,16,4/2/24 5:58 PM,Add Two Meatballs,Pasta Options,Spaghetti Marinara,0.00,12.00,1.0,false,
Los Gatos,17,4/2/24 6:19 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,17,4/2/24 6:19 PM,Add Chicken,Insalate Options,Caesar,0.00,9.00,1.0,false,
Los Gatos,17,4/2/24 6:19 PM,Add Chicken,Insalate Options,Caprese Insalate,0.00,9.00,1.0,false,
Los Gatos,22,4/2/24 6:29 PM,Extra Red Pepper,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,21,4/2/24 6:36 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,27,4/2/24 7:14 PM,Castelvetrano,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,24,4/2/24 7:39 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,30,4/2/24 7:45 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,30,4/2/24 7:57 PM,Add One Meatball,Options,Meatballs,0.00,7.00,1.0,false,
Los Gatos,1,4/3/24 12:31 PM,Add Shrimp ,Insalate Options,Caesar,0.00,12.00,1.0,false,
Los Gatos,4,4/3/24 12:47 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,5,4/3/24 12:49 PM,No Onions On Falf,,Mista,0.00,0.00,1.0,false,
Los Gatos,6,4/3/24 12:54 PM,"No Chili ,no Letuce On Plate",,Calabrese Lo Riscaldo,0.00,0.00,1.0,false,
Los Gatos,7,4/3/24 1:02 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,1,4/3/24 1:20 PM,Bday,,Tiramisu,0.00,0.00,1.0,false,
Los Gatos,14,4/3/24 5:47 PM,Cut In 4,,Calabrese Lo Riscaldo,0.00,0.00,1.0,false,
Los Gatos,14,4/3/24 5:47 PM,Cut In 4,,Arthur Ave,0.00,0.00,1.0,false,
Los Gatos,18,4/3/24 6:04 PM,Large Side Of Cippolini Onions,,DiStefano Burrata,0.00,0.00,1.0,false,
Los Gatos,23,4/3/24 6:10 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,25,4/3/24 6:28 PM,No Spicy,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,23,4/3/24 6:42 PM,Add Shrimp,,Caesar,0.00,9.00,1.0,false,
Los Gatos,28,4/3/24 7:18 PM,Extra Veggies,,Salmon,0.00,0.00,1.0,false,
Los Gatos,29,4/3/24 7:22 PM,Add Chicken,Pasta Options,Cacio e Pepe,0.00,9.00,1.0,false,
Los Gatos,32,4/3/24 7:53 PM,Add Shrimp,,Aglio e Olio,0.00,9.00,1.0,false,
Los Gatos,1,4/4/24 12:50 PM,Salmon,,DD CAESAR,0.00,16.00,1.0,false,
Los Gatos,3,4/4/24 12:59 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,18.00,2.0,false,
