Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier,SKU,PLU
400000028298899835,000518b8-edc9-45c9-a25a-5d2c4f19aef1,RET LCN Nebbiolo,400000028298899836,,35.00,3/10/2023,No,No,,
400000038743222155,000faf48-477e-4778-a66a-8365159819ca,Fennochio Spetacol Nebbiolo,400000038743222156,,35.00,2/16/2024,No,No,,
400000001599465918,0016ec51-80a2-4d1d-a923-94a462a82cd0,RET Lapierre Pacalet Julienas 17,400000001599465919,,36.00,6/24/2019,No,No,,
400000000418320852,00179efd-bf92-4d8a-82d3-1b9d13ab9244,Regular,400000000418320853,,22.00,2/4/2019,No,Yes,,
400000002279413810,001f3e91-e243-483f-8b6c-64209cdddc1f,Sale,400000002279413811,,35.00,8/29/2019,No,Yes,,
400000005966668730,002f4614-121c-4fa9-aa3c-e0f81858f49b,BTL Alfaro A Estate Chardonnay 18,400000005966668731,,42.00,7/20/2020,No,No,,
400000004460325266,002fcb08-691b-474f-a959-0a051dcbd105,6/+,400000004460325267,,17.22,3/6/2020,No,Yes,,
400000000788407445,003309df-a073-400a-bd3e-d6caeba407c6,BTL Tajinaste Listan Negro 17,400000000788407446,,45.00,3/29/2019,No,No,,
400000003973215400,003d43d0-fe9f-4353-9e86-57e07521e796,WC,400000003973215401,,46.00,2/3/2020,No,Yes,,
400000000293762002,003f5595-0bde-4333-aa71-7fae20834d01,Member,400000000293762003,,15.00,1/9/2019,No,No,,
400000003478959304,004aee49-65ab-4ece-8bf1-9ed430d334b2,RET Quintarelli Primofiore 16,400000003478959305,,69.00,12/23/2019,No,No,,
400000000195681685,0062e7de-540d-4a3c-9fce-1f37c10edfbe,BTL Paillard Rouge 12,400000000195681686,,70.00,12/14/2018,No,No,,
400000000195785636,006442a9-f6a8-469c-bd8a-2c244caf9bbe,BTL Ramey Syrah 15,400000000195785637,,56.00,12/14/2018,No,No,,
400000000195847547,00663245-385a-4eee-8c79-be8cd8898b84,BTL Terenzuola Merla della Miniera 15,400000000195847548,,65.00,12/14/2018,No,No,,
400000002397894361,007968c6-25fc-4c82-9852-fcd11907ba3f,RET St Innocent Pinot Blanc 15,400000002397894362,,0.00,9/9/2019,No,No,,
400000029921166621,008178c3-f6c0-4c82-b8bd-74358df337ba,WC Due Terre Rose di Frappato 21,400000029921166622,,22.00,5/1/2023,No,No,,
400000005911649433,008b2bdb-24c5-47ce-b6d8-77769cf4dcc5,RET Frog's Leap Pink Rose 19,400000005911649434,,24.00,7/17/2020,No,No,,
