Item ID,GUID,Name,Number,Imported ID,Base Price,Created Date,Archived,Modifier
400000000270493257,0017f26e-857b-4891-8557-27b01b5cff79,1/4 lb.,400000000270493260,,5.27,1/3/2019,No,No
400000004461165041,00509c41-d6db-4fc5-a458-5bb9addd4012,6/+,400000004461165044,,15.58,3/6/2020,No,No
400000004397099646,00587efb-7cf7-4e39-a1c5-93b0b4b38306,Sale 6/+,400000004397099649,,28.00,3/2/2020,No,No
400000000877550497,006bcacc-2a1d-4c7a-84bc-b891322d1503,WC,400000000877550650,,18.00,4/8/2019,No,No
400000002128382484,0071b401-0d6c-440e-ac3c-beadb181571a,Regular,400000002128382487,,23.00,8/14/2019,No,No
400000002085349553,00b71b0e-e0ed-4ca4-a9b7-7937e0ce0c11,RET,400000002085349556,,18.00,8/10/2019,No,No
400000000593025347,00e228c1-384e-4429-bd7d-7c112bec3742,6+,400000000593025500,,20.00,3/4/2019,No,No
400000001350250305,010055c9-0f7b-4cec-8cf6-64c476175e98,Sale,400000001350250308,,118.00,5/30/2019,No,No
400000002973811392,0118d76c-a641-4ee6-8e77-0e23f41d69c3,Regular,400000002973811395,,20.00,11/4/2019,No,No
400000002036214692,016f68be-8594-4fab-894b-3664ecc2e8c4,Regular,400000002036214695,,26.00,8/5/2019,No,No
400000002973816804,0190a4c6-11ca-434f-b1d4-d55afb8faeca,6/+,400000002973816807,,12.00,11/4/2019,No,No
400000004461027877,019e003f-059c-474f-862c-adb0fc331f78,Sale,400000004461027880,,34.00,3/6/2020,No,No
400000003250876214,01a85bdc-94e1-4292-82c3-3b122d1ce81e,WC,400000003250876217,,40.00,12/2/2019,No,No
400000004515329115,01f314c7-c488-42ad-9f04-73e489d2366c,Sale 20%,400000004515329118,,16.80,3/9/2020,No,No
400000002933087766,0201ac80-23f8-4e97-9cfb-dddf22b7523f,Regular,400000002933087769,,55.00,11/1/2019,No,No
400000008235419381,0213a383-5728-4426-96b5-e096a0d95cf8,No Tomato,400000008235419384,,0.00,12/2/2020,No,No
400000000124874265,0264a25d-7751-474f-9a21-11242ed8bc37,No Mozzarella,400000000124874268,,0.00,11/20/2018,No,No
400000000270371126,0267cb37-75e6-4ab5-91d3-df1fdfa840fc,1 lb.,400000000270371129,,13.44,1/3/2019,No,No
400000002973753658,02ac7044-f880-4ffe-af3b-6cc59322af60,WC,400000002973753661,,27.00,11/4/2019,No,No
400000002839644112,02b6cf73-af4f-46fd-982a-a80f2cd20697,Sale 6/+,400000002839644115,,28.00,10/22/2019,No,No
400000023375860102,0308c398-a29f-4f39-add4-d6c8209cd8db,No Black Pepper,400000023375860105,,0.00,9/12/2022,No,No
400000000385558496,032ca13f-2333-4a55-8edf-16229d32eb2c,Sale,400000000385558499,,68.00,1/29/2019,No,No
400000001121746310,034e1024-0645-4eaf-9ec0-1182d030b612,WC,400000001121746313,,16.00,5/6/2019,No,No
400000000124865663,035109ec-113c-4871-b0f0-f6b44aa2b528,No Salt,400000000124865666,,0.00,11/20/2018,No,No
400000018230751549,037ae3a3-c2c8-4990-823d-567a3fcb9745,Add 5 Shrimp,400000018230752602,,12.00,3/10/2022,No,No
400000000829442139,03b6981e-3381-42b9-9a3e-c78272a513cc,6/+,400000000829442142,,13.94,4/3/2019,No,No
